,y,x1,x2
1151,-1.0968,3.0561,3.8083
975,1.2759,2.7489,8.3095
3626,9.1329,7.3758,5.8957
569,7.5463,2.0403,6.9167
2975,3.0147,6.2396,8.1838
3015,1.0251,6.3094,4.3127
411,7.3153,1.7645,5.3494
2156,-7.1172,4.8101,2.707
4320,3.0656,8.587,8.2292
1295,-3.1998,3.3074,1.4905
2659,-2.3203,5.688,1.9321
2715,-0.6585,5.7858,1.1432
2829,-2.9395,5.9847,8.6289
3594,2.0839,7.3199,3.5221
1383,-2.2739,3.461,8.2502
1496,-3.6806,3.6582,1.3334
937,3.184,2.6826,7.4875
917,4.3731,2.6477,5.1103
710,1.8105,2.2864,2.159
242,4.743,1.4696,4.756
4009,6.1665,8.0442,5.421
2089,-5.1222,4.6932,3.2184
1971,-6.0646,4.4872,1.5376
519,5.8501,1.953,2.5901
3963,4.3041,7.9639,1.9443
3470,5.0271,7.1035,1.8256
1990,-5.9183,4.5204,7.9796
1706,-3.4833,4.0247,5.1033
348,7.6574,1.6546,5.6898
1949,-1.4666,4.4488,4.4576
1585,-3.2388,3.8135,6.2902
2818,-4.246,5.9655,1.8623
4368,4.3453,8.6708,4.1539
1107,-2.8968,2.9793,1.9775
4068,8.6936,8.1472,7.4595
1371,-2.0201,3.44,5.5013
326,5.7085,1.6162,7.1524
1030,-1.2519,2.8449,2.44
4189,7.6295,8.3584,1.1502
2225,-6.4133,4.9306,7.3025
2408,-8.6598,5.25,2.2602
2358,-5.5016,5.1627,5.9184
391,4.7338,1.7296,7.182
1815,-2.7516,4.215,1.8553
980,1.6849,2.7576,1.7261
4382,6.8209,8.6952,5.5571
4302,8.0385,8.5556,1.3998
4072,2.1825,8.1542,2.3335
1193,-1.4359,3.1294,2.3091
3354,5.4834,6.901,5.4175
217,7.5082,1.4259,5.7456
4007,4.9709,8.0407,8.1489
376,4.2784,1.7034,2.5447
2376,-6.0814,5.1941,7.3269
2526,-8.0809,5.4559,7.3897
4176,7.2569,8.3357,4.6094
3333,6.353,6.8644,5.2779
3992,6.4985,8.0146,1.3491
3977,8.8242,7.9884,7.0895
812,4.5222,2.4644,8.1036
1415,-3.7243,3.5168,6.4647
2081,-7.7551,4.6792,1.2113
2056,-2.0878,4.6356,6.449
3422,2.106,7.0197,3.9741
3872,4.4305,7.8051,3.9008
1120,-4.1041,3.002,3.372
3348,1.6941,6.8906,2.6791
3381,7.1034,6.9482,7.4752
3032,1.9946,6.339,7.5294
294,6.0606,1.5603,1.1572
1488,-4.0349,3.6442,6.1244
1002,0.1427,2.796,4.2778
1461,-3.8513,3.5971,2.4574
1828,-6.7937,4.2377,1.2723
2068,-9.7002,4.6565,2.618
3854,3.5851,7.7737,3.2236
285,5.4035,1.5446,8.6097
3424,5.0727,7.0232,4.7072
4023,8.7745,8.0687,5.9708
1715,-6.7862,4.0404,2.913
1864,-12.003,4.3005,8.5853
3398,7.23,6.9778,5.9551
1429,-0.1723,3.5413,5.6409
1144,1.8196,3.0439,1.0891
1961,-3.9399,4.4698,5.3075
2321,-9.575,5.0981,1.7331
91,5.7692,1.206,2.7402
3062,1.935,6.3914,6.6375
3049,0.9773,6.3687,6.2675
3835,5.756,7.7405,1.5307
2131,-4.7426,4.7665,3.9636
3554,6.0074,7.2501,5.4699
556,5.4767,2.0176,5.7299
2654,-2.1339,5.6793,5.3739
1909,-7.6891,4.379,3.3632
3552,8.3494,7.2466,7.1681
188,8.5857,1.3753,1.59
1952,-7.2446,4.4541,5.6392
1579,-7.063,3.8031,4.3302
3966,5.0394,7.9692,8.0564
3529,2.0839,7.2065,3.7263
2855,0.4791,6.0301,5.9202
1707,-7.4713,4.0265,3.0229
1927,-6.334,4.4104,1.5743
3558,5.2255,7.2571,3.8502
2418,-6.2944,5.2674,3.2673
1265,-3.0362,3.255,3.5832
3882,7.8705,7.8226,7.5974
3402,7.7315,6.9848,1.8047
2207,-2.1509,4.8991,6.538
2664,0.4213,5.6968,6.3111
1224,0.0036,3.1835,7.3548
2079,-5.7732,4.6757,7.21
4365,1.6367,8.6656,1.5394
681,8.0689,2.2358,6.8417
23,4.7466,1.0873,1.4556
1518,-6.5317,3.6966,3.6268
663,11.3776,2.2044,5.9812
3029,0.2312,6.3338,8.0721
2876,-3.4996,6.0668,3.7455
1080,5.7047,2.9322,6.0266
945,-3.991,2.6965,4.2708
700,3.3162,2.2689,4.4611
1006,2.0358,2.803,5.8085
1583,-1.3896,3.8101,1.1606
4187,5.3923,8.3549,3.1311
743,0.821,2.344,1.4155
3326,0.8185,6.8522,3.7699
3282,-0.8737,6.7754,2.1031
3448,4.0563,7.0651,1.7802
3590,10.018,7.3129,6.4001
582,2.1648,2.063,8.4509
3639,4.6487,7.3985,4.0474
3334,4.0258,6.8661,5.7194
1885,-6.7752,4.3371,7.7754
2744,-6.0929,5.8364,4.6373
4003,7.2631,8.0338,7.751
1058,-3.0131,2.8938,2.9601
3683,2.6775,7.4752,4.5605
1988,-7.7626,4.5169,4.5623
1435,-2.7433,3.5517,5.5432
80,4.8402,1.1868,1.5429
4012,8.0509,8.0495,5.2098
2901,2.3247,6.1104,6.0196
2567,-3.9563,5.5275,4.4139
2703,-2.8532,5.7648,2.6634
3460,-1.0418,7.086,4.2412
1082,4.6444,2.9356,3.0089
1751,-3.0908,4.1033,7.6306
2783,0.0853,5.9044,6.0929
933,4.5526,2.6756,7.58
956,0.692,2.7157,3.8397
2437,-4.2304,5.3006,7.758
2446,-6.7463,5.3163,3.0316
3758,6.1564,7.6061,6.6829
1719,-7.0229,4.0474,1.2636
775,2.3637,2.3998,1.6825
3899,2.0269,7.8522,8.4142
1390,-1.9381,3.4732,4.1556
1979,-1.5608,4.5012,5.805
1072,1.3579,2.9182,2.0961
2606,-3.9771,5.5955,1.0612
3327,7.3576,6.8539,6.3129
2997,-1.2297,6.2779,4.6304
2291,-5.8307,5.0457,1.7
1533,-0.261,3.7228,6.0493
2316,-8.0064,5.0894,2.1904
3708,7.252,7.5189,7.47
622,3.6352,2.1328,2.056
3716,9.096,7.5328,5.7317
1889,-4.2019,4.3441,7.0686
1215,2.1574,3.1678,5.6985
3598,1.518,7.3269,4.4157
2793,-3.8021,5.9219,2.0316
2552,-5.7673,5.5013,2.6459
3158,7.1249,6.5589,6.0545
2780,-2.5627,5.8992,5.4158
2136,-3.9634,4.7752,7.8871
793,2.3515,2.4312,2.5866
1901,-7.7763,4.3651,2.131
3105,5.9641,6.4664,5.8189
2990,0.2444,6.2657,4.66
3159,3.4561,6.5607,8.2764
498,4.2231,1.9164,5.1417
3815,8.1358,7.7056,5.5187
3408,4.102,6.9953,4.9567
994,4.391,2.7821,1.0769
100,6.3702,1.2217,2.0717
1972,-5.3236,4.489,6.8242
2674,-4.6083,5.7142,1.8378
1284,1.4558,3.2882,7.3793
3727,4.0621,7.552,8.6586
1170,0.6235,3.0892,8.2275
355,4.0649,1.6668,4.283
1796,-3.8481,4.1818,5.9394
2748,-6.3704,5.8434,2.4365
1248,-1.494,3.2254,3.7053
1935,-5.799,4.4244,1.0996
1155,6.2376,3.0631,6.4542
2025,-6.0596,4.5815,5.1173
1530,-3.432,3.7176,2.9793
1686,-5.3852,3.9898,3.6634
107,8.1694,1.2339,1.3614
3807,9.7896,7.6917,4.0649
1243,2.8663,3.2166,7.5032
2114,-6.2654,4.7368,8.6115
1216,0.5331,3.1695,4.8101
3215,1.4499,6.6584,6.2762
3784,8.5983,7.6515,1.419
2822,-0.0792,5.9725,4.8381
4137,7.6256,8.2676,6.1087
2791,-5.8835,5.9184,8.3741
1016,2.7372,2.8205,6.428
3481,5.9047,7.1227,5.6845
3618,2.1166,7.3618,4.8189
385,4.7776,1.7191,2.9182
256,7.4355,1.494,8.0739
1873,-7.1118,4.3162,1.508
492,8.0829,1.9059,6.2046
1012,2.8106,2.8135,1.3928
1559,1.5601,3.7682,5.9306
2302,-5.5658,5.0649,7.3339
1947,-5.9738,4.4454,6.6933
1750,-2.2819,4.1015,7.1105
2534,-5.6352,5.4699,1.4626
4233,5.5168,8.4352,2.3248
3117,-1.7431,6.4874,2.1293
240,3.0102,1.4661,4.9655
39,6.0864,1.1153,7.3217
2143,-10.2738,4.7874,1.9129
1402,-1.8777,3.4941,4.5291
2087,-11.0953,4.6897,3.0002
1479,-3.0457,3.6285,4.5169
1471,-0.3178,3.6146,6.3408
628,5.9332,2.1433,1.1833
3440,3.2355,7.0511,2.878
2635,-5.0939,5.6461,4.5728
3077,-2.2905,6.4176,5.4576
1483,-4.5738,3.6355,1.5568
3244,-0.602,6.709,3.3126
685,2.292,2.2427,7.4438
1855,-0.0474,4.2848,1.7052
2082,-5.8131,4.681,4.6478
756,7.9421,2.3667,6.9743
2205,-3.5649,4.8956,2.2253
1038,0.8246,2.8588,4.4733
4352,8.708,8.6429,7.1471
794,8.6605,2.433,5.3425
1670,-5.7414,3.9619,7.0878
431,5.7737,1.7994,7.9412
2725,-1.0273,5.8032,1.1222
1974,-3.2201,4.4925,3.166
2498,-9.257,5.407,2.2654
248,1.6803,1.48,1.7767
942,1.522,2.6913,5.3459
1428,-4.3801,3.5395,3.1835
2101,-6.3096,4.7141,5.325
314,9.0919,1.5952,3.7804
3840,1.8813,7.7493,4.0003
2993,0.7529,6.271,1.974
4246,1.9518,8.4579,3.4243
1929,-4.6734,4.4139,5.0684
2938,-1.2002,6.175,4.3337
29,3.4096,1.0978,2.6215
3131,0.1021,6.5118,2.3003
1181,-1.4231,3.1084,3.742
3927,2.6768,7.9011,7.957
4027,3.2311,8.0756,3.5901
3433,4.842,7.0389,8.3165
4206,9.2747,8.3881,8.0774
2568,1.0258,5.5292,5.0231
1045,0.5466,2.8711,8.2013
317,5.3991,1.6005,7.2012
3146,3.4587,6.538,7.9378
2813,-3.386,5.9568,5.5379
3360,1.5146,6.9115,7.8889
2124,-7.9087,4.7543,7.4805
1742,-5.097,4.0876,1.0559
2100,-6.6325,4.7124,8.4788
1399,-2.4191,3.4889,1.3142
3638,2.3018,7.3967,4.7421
845,5.8381,2.522,5.1871
1184,-1.2362,3.1137,4.0282
4398,8.3555,8.7232,7.9849
1627,-9.1837,3.8868,5.2744
1588,-0.0596,3.8188,1.1659
3735,5.8347,7.566,8.5713
2911,3.1191,6.1279,7.7632
3359,4.498,6.9098,4.6338
536,5.5315,1.9827,7.7772
3797,11.6955,7.6742,6.1418
1503,-0.3505,3.6704,1.5848
1267,-4.2307,3.2585,2.2742
1280,2.4129,3.2812,7.4002
4357,2.7294,8.6516,8.3514
1227,-0.3208,3.1887,5.1348
3061,-1.7695,6.3897,3.4208
3888,6.0896,7.833,8.5504
3591,4.6585,7.3147,2.2288
2972,1.6122,6.2343,4.1731
403,10.0768,1.7506,5.3093
4216,2.0051,8.4055,1.384
366,3.6028,1.686,8.697
621,5.6727,2.131,3.8921
3953,5.8162,7.9465,5.709
2631,-4.7389,5.6392,1.3526
2810,-6.1483,5.9516,4.4331
1055,-0.5738,2.8885,3.4069
3111,-0.7518,6.4769,4.6635
1679,-1.7734,3.9776,1.8675
1759,-2.0407,4.1172,6.5206
2370,-3.4191,5.1836,5.5152
1035,-2.7376,2.8536,2.9147
758,4.667,2.3702,7.566
3838,10.7569,7.7458,7.1558
1800,-4.7548,4.1888,4.7368
2423,-4.921,5.2761,2.2497
2798,2.9483,5.9306,6.8766
1669,-8.1931,3.9602,2.4382
2619,-2.7514,5.6182,2.1014
3169,-0.8239,6.5781,3.6338
2166,-7.817,4.8276,3.0247
1703,-3.66,4.0195,1.8134
2247,-6.5961,4.969,3.3563
4295,5.3969,8.5434,2.3405
81,2.7658,1.1886,4.0893
962,3.6653,2.7262,7.3374
4057,6.5158,8.128,4.8834
712,5.0339,2.2899,7.3845
3,4.4102,1.0524,5.9935
2419,-6.6106,5.2691,1.871
1183,1.1871,3.1119,5.6968
1723,-3.5351,4.0544,6.7405
3483,7.3961,7.1262,1.857
1257,-1.894,3.2411,5.702
1928,-5.0452,4.4122,5.8643
1840,-10.7157,4.2586,3.9235
2892,7.2769,6.0947,6.5014
2800,-4.1564,5.9341,3.3057
2277,-6.7992,5.0213,7.9622
3094,-1.4229,6.4472,8.0268
1820,-8.0312,4.2237,3.3336
2023,-2.923,4.578,2.4487
2649,-1.189,5.6706,5.4629
1810,-3.5587,4.2062,4.7386
1838,-6.1181,4.2551,7.9692
3177,2.0278,6.5921,8.0041
2777,-3.5904,5.894,8.6254
3771,9.3118,7.6288,2.5691
3135,3.8383,6.5188,4.8712
50,3.5802,1.1345,6.9447
3235,-1.2682,6.6933,8.7109
3229,0.1761,6.6829,4.098
1896,-6.9965,4.3563,1.6057
4040,6.1519,8.0983,7.3967
487,4.2139,1.8972,1.5341
3248,0.8941,6.716,6.7876
3080,-2.3252,6.4228,4.0701
3420,2.6014,7.0162,2.7192
64,4.4696,1.1589,7.2693
1702,-2.5515,4.0177,4.8258
1126,1.3268,3.0124,4.4035
4014,9.8213,8.0529,7.367
3297,2.7292,6.8015,1.8117
3387,2.8841,6.9586,3.0107
2299,-2.6444,5.0597,4.6862
1456,-0.3458,3.5884,5.2918
1720,-3.115,4.0492,4.9026
3645,4.2432,7.4089,4.7822
3155,2.4964,6.5537,6.161
473,4.9834,1.8727,1.6703
2422,-7.5041,5.2744,4.6461
991,3.1003,2.7768,1.1851
4221,4.6683,8.4142,8.3531
1960,-3.6793,4.468,6.7509
2118,-4.1081,4.7438,4.5518
3329,6.2642,6.8574,6.1558
2523,-5.9095,5.4507,2.8501
3009,-2.9766,6.2989,8.6446
1492,-1.0556,3.6512,6.5328
2460,-5.1619,5.3407,6.346
3511,0.3104,7.175,8.6882
3921,6.9117,7.8906,2.0804
539,6.2669,1.9879,1.9949
1068,0.4066,2.9112,6.2692
527,3.9725,1.967,2.1258
2969,-2.0886,6.2291,4.5832
4249,4.0626,8.4631,8.306
1884,-6.9867,4.3354,1.5778
1052,5.4773,2.8833,6.3652
56,8.2535,1.1449,1.309
1758,-5.3441,4.1155,7.7248
2013,-6.9191,4.5605,3.0404
1905,-9.9075,4.372,4.0125
3562,3.8014,7.2641,7.0441
2931,1.9547,6.1628,5.5519
3119,0.6486,6.4909,5.4315
3316,3.2418,6.8347,5.2255
307,2.9796,1.583,2.5656
3916,9.8004,7.8819,7.7405
3423,2.5548,7.0215,2.0036
22,4.5235,1.0856,8.4631
2062,-3.9767,4.6461,6.2308
4055,7.8717,8.1245,1.2409
3749,5.5784,7.5904,7.5189
1876,-5.8982,4.3214,4.8119
3711,6.1514,7.5241,8.4858
1953,-4.2069,4.4558,5.2342
469,6.464,1.8658,5.1941
2613,-10.3416,5.6077,2.1276
1225,3.3515,3.1852,6.6078
1090,-0.5077,2.9496,4.3982
3480,1.9007,7.1209,2.0787
2390,-5.4645,5.2185,5.3582
2903,1.1361,6.1139,6.7928
4359,5.9123,8.6551,5.4926
2774,-2.3474,5.8887,6.4699
19,3.9044,1.0804,4.009
551,1.977,2.0089,3.6984
3056,1.1871,6.3809,7.6742
697,6.7756,2.2637,7.6027
3210,3.4353,6.6497,4.6147
2388,-7.065,5.215,1.4957
2381,-2.5251,5.2028,1.5586
2038,-10.3973,4.6042,3.365
3332,1.5368,6.8626,6.2012
3349,4.0786,6.8923,6.1209
3809,8.6168,7.6952,5.8154
523,8.4168,1.96,4.5221
550,6.9423,2.0071,4.8695
3713,4.2541,7.5276,1.412
204,7.1261,1.4032,5.25
507,6.6305,1.9321,6.8452
2172,-6.6642,4.8381,1.9199
3136,3.3619,6.5206,5.2796
2711,-4.8681,5.7788,4.1155
1539,-3.3741,3.7333,7.6445
1372,2.2041,3.4418,7.0476
3425,-0.5406,7.025,8.6673
650,5.4802,2.1817,4.7037
518,4.6742,1.9513,3.8362
644,5.5848,2.1712,6.7178
791,5.1245,2.4278,8.6184
1446,-2.2921,3.5709,5.4734
1673,-1.6666,3.9671,7.7178
1656,-5.4486,3.9375,3.4907
1327,0.8207,3.3632,6.9377
912,3.8464,2.6389,1.9967
3678,7.1221,7.4665,2.9304
1209,1.9473,3.1573,7.4089
511,6.5934,1.9391,3.2289
287,8.7806,1.5481,1.11
3643,4.8025,7.4054,3.0857
2655,-5.4567,5.681,7.7109
1305,-3.6251,3.3249,4.2848
3644,7.8281,7.4072,2.4138
1263,-2.5345,3.2515,6.1279
704,5.1221,2.2759,4.8555
1731,-7.5599,4.0684,2.3876
2102,-3.9269,4.7159,1.6947
365,5.0597,1.6842,2.2777
1580,-5.3791,3.8048,6.1837
2375,-6.8657,5.1924,4.1853
1918,-2.5041,4.3947,6.8015
2882,-2.947,6.0772,7.95
3563,2.9765,7.2658,1.8274
594,3.9361,2.0839,1.1449
3541,9.2593,7.2274,6.4246
1491,-8.0217,3.6495,8.3444
353,6.7664,1.6633,1.9618
3338,6.6078,6.8731,7.3391
3900,3.7264,7.854,2.9985
3289,3.8156,6.7876,6.5904
909,7.2353,2.6337,7.4299
834,7.0027,2.5028,7.6393
9,6.0051,1.0629,4.3162
2511,-0.4153,5.4297,6.3094
4310,5.9364,8.5696,4.6548
596,8.0032,2.0874,4.7246
4271,4.9662,8.5015,5.9271
3043,-1.972,6.3582,2.2846
1137,-5.2399,3.0316,2.1555
1350,-1.5499,3.4034,4.2691
967,0.4133,2.7349,8.3985
1795,-8.5194,4.1801,3.9497
2187,-7.2856,4.8642,6.1436
2740,-1.6234,5.8294,5.8032
4114,4.9065,8.2275,1.2217
2914,0.5991,6.1331,1.96
3995,5.1889,8.0198,3.941
2733,-1.6615,5.8172,2.9863
1115,1.3438,2.9932,4.3825
60,4.9663,1.1519,3.8101
1317,-2.2834,3.3458,1.316
2638,-6.0303,5.6514,1.7104
2009,-4.8313,4.5536,6.3792
53,6.6534,1.1397,6.8696
1376,-1.3462,3.4488,5.4594
140,2.7768,1.2915,8.5957
1907,-5.6111,4.3755,7.8522
438,6.7104,1.8117,4.002
2642,-3.6223,5.6584,3.4278
3962,5.3138,7.9622,5.0126
627,1.2627,2.1415,8.6272
780,4.4847,2.4086,8.5608
363,4.074,1.6808,3.6739
3923,7.877,7.8941,6.9028
2246,-5.408,4.9672,8.683
1924,-3.2701,4.4052,6.3547
1520,-3.9304,3.7001,2.2969
3027,-3.356,6.3303,2.9374
1065,5.8207,2.906,4.845
2386,-5.2898,5.2116,2.4958
480,4.6632,1.885,8.1071
1946,-8.0672,4.4436,4.2429
3259,1.5573,6.7352,4.564
3521,4.8834,7.1925,4.4907
3813,3.7145,7.7021,2.1345
4191,3.8494,8.3619,3.6774
1232,-0.5016,3.1974,3.7158
2121,-6.229,4.749,4.016
565,6.0011,2.0333,2.3928
3008,2.9482,6.2971,5.681
1526,-1.6164,3.7106,5.7997
371,7.1698,1.6947,7.5677
1998,-6.206,4.5344,7.7981
2617,-5.3255,5.6147,2.8466
3509,5.4833,7.1716,8.4474
3208,2.812,6.6462,3.5116
2431,-4.7648,5.2901,6.9796
3767,8.5164,7.6219,7.9151
2610,-3.6717,5.6025,5.0457
2477,-4.4565,5.3704,2.166
1900,-6.7181,4.3633,7.7074
3776,5.278,7.6376,6.1977
3202,0.6231,6.6357,4.7194
1837,-8.095,4.2534,2.1136
3218,2.1949,6.6637,4.3476
4383,4.372,8.697,8.1018
548,5.3753,2.0036,1.7453
702,0.0376,2.2724,3.0299
2809,-3.5893,5.9498,4.667
731,5.5184,2.323,5.3617
718,3.9031,2.3003,3.9479
1163,0.0637,3.077,1.7837
1046,0.5464,2.8728,4.2272
634,5.5784,2.1537,8.5748
2103,-4.3577,4.7176,7.093
589,2.3911,2.0752,2.8972
2752,0.2932,5.8503,4.8852
2550,-2.5365,5.4978,1.1327
1544,-0.197,3.742,7.7493
3567,8.5159,7.2728,4.4314
4369,4.9535,8.6725,8.0687
1521,2.3721,3.7018,6.6096
3494,-1.0054,7.1454,8.2694
988,7.4508,2.7716,6.5694
735,5.414,2.33,6.8853
1712,-2.0522,4.0352,5.1505
1004,-1.567,2.7995,2.4871
3999,3.6963,8.0268,3.9532
2445,-4.8522,5.3145,6.1401
3595,9.3459,7.3217,4.2673
3979,7.5058,7.9919,1.8518
1356,-1.2813,3.4139,4.5396
829,0.745,2.4941,5.0492
672,5.6076,2.2201,4.6426
76,8.9292,1.1798,5.4995
2041,-3.5506,4.6094,1.0751
1738,-6.2794,4.0806,4.3616
1343,-0.6378,3.3912,7.9098
3161,2.3586,6.5642,4.3529
2898,-2.9937,6.1052,5.2569
3247,-3.2988,6.7143,1.9722
2462,-2.4946,5.3442,7.0843
1355,-1.1392,3.4121,3.9375
4038,3.308,8.0948,3.8711
2249,-3.7186,4.9724,1.1135
194,5.6141,1.3858,6.0388
3006,-0.6778,6.2937,3.1608
1842,-4.0421,4.2621,8.3636
110,1.5808,1.2392,8.4073
105,4.2204,1.2305,2.8554
3599,5.2689,7.3286,5.1679
3073,-0.9398,6.4106,8.5835
1064,-0.2756,2.9042,7.8941
165,1.1625,1.3352,2.7227
3864,8.5435,7.7911,6.833
4069,4.0614,8.1489,7.5922
2879,-2.5081,6.072,4.688
3416,4.6563,7.0092,4.8241
2823,0.0583,5.9743,5.2831
3163,4.9392,6.5677,6.2745
1859,-10.5522,4.2918,8.121
1964,-8.1896,4.475,8.128
1809,-3.9392,4.2045,3.5884
1103,1.7923,2.9723,5.3599
1529,-6.2647,3.7158,2.9531
789,1.8836,2.4243,8.6027
4305,3.9613,8.5608,8.0547
2830,-3.5104,5.9865,1.5987
3342,1.9083,6.8801,7.5206
3467,-0.2106,7.0983,2.7506
1121,-1.4689,3.0037,3.0055
3432,9.6146,7.0372,6.0319
3829,3.3089,7.7301,1.946
524,7.4693,1.9618,1.672
288,6.2622,1.5499,6.0249
2589,-3.8588,5.5659,2.5883
1764,-9.8961,4.126,3.0386
3378,3.8747,6.9429,3.1468
2788,-1.7845,5.9132,2.0333
1123,5.3855,3.0072,4.9079
1005,4.0199,2.8013,4.9899
1375,-1.7248,3.447,6.6131
3308,-1.2828,6.8207,2.6564
1195,-0.8273,3.1329,8.1175
1308,7.1584,3.3301,5.6828
1667,-4.2935,3.9567,6.1366
3002,0.0602,6.2867,8.6167
2290,-8.2391,5.044,2.1956
3964,4.6675,7.9657,1.9373
3377,-1.5457,6.9412,3.9252
1457,-3.7813,3.5901,2.2462
83,6.7522,1.1921,5.1068
3089,0.3381,6.4385,2.3475
1042,3.2743,2.8658,7.3775
2377,-6.6578,5.1958,6.1575
3034,6.9496,6.3425,6.3303
615,7.1583,2.1206,8.5399
1616,-5.4286,3.8676,5.0196
3482,4.6195,7.1244,3.0281
1801,-3.2092,4.1905,6.2169
1523,-4.0618,3.7053,4.2795
213,4.6053,1.419,1.9356
3110,1.3174,6.4752,8.6481
1325,-0.4602,3.3598,8.4247
301,4.8489,1.5725,6.5607
1966,-2.0557,4.4785,2.1869
2860,-2.9362,6.0388,8.6638
4207,4.515,8.3898,5.695
472,7.5836,1.871,7.2885
289,4.0371,1.5516,7.4543
4096,2.2365,8.1961,4.1783
1318,-0.3175,3.3475,2.9025
1176,0.4064,3.0997,1.6581
2335,-3.7296,5.1225,3.8345
741,0.083,2.3405,3.8467
1306,3.6214,3.3266,1.5499
3012,-0.0824,6.3041,1.9391
3623,4.9502,7.3705,4.3354
4124,6.2569,8.2449,4.9114
1734,-5.7386,4.0736,3.8432
356,1.9613,1.6685,8.3881
1931,-8.1743,4.4174,2.3527
2274,-4.9388,5.0161,2.1799
3909,4.7452,7.8697,8.6551
2019,-2.9185,4.571,6.072
2,6.3467,1.0507,2.4731
3283,2.6745,6.7771,8.6499
504,6.7391,1.9268,1.8483
302,6.798,1.5743,5.9219
2389,-5.9129,5.2168,4.4925
1434,-9.1044,3.55,2.4714
160,5.6933,1.3265,1.6074
134,3.25,1.2811,4.6722
312,6.9756,1.5917,2.2567
2250,-7.2301,4.9742,1.5516
1657,-6.6329,3.9392,5.4786
3179,0.0401,6.5956,2.9706
1180,-2.0706,3.1067,4.9148
760,8.9834,2.3736,6.9866
4001,3.8824,8.0303,1.9897
3391,0.5148,6.9656,8.7144
1190,5.0316,3.1241,6.9883
3780,4.883,7.6445,7.6096
4128,6.0566,8.2519,6.4787
1911,-1.2868,4.3825,5.1801
491,1.0032,1.9042,2.7157
1460,-6.0672,3.5954,4.5815
957,3.8817,2.7175,1.0594
4337,8.1656,8.6167,7.114
2731,-1.1547,5.8137,5.3442
4267,2.7658,8.4945,1.5149
1711,-6.8195,4.0335,4.6618
3185,-0.2982,6.6061,8.6952
2980,4.5424,6.2483,6.5712
2487,-3.2425,5.3878,4.852
4351,5.8599,8.6411,6.4944
2787,1.7103,5.9114,5.6863
1804,-1.1075,4.1958,7.5817
656,3.3355,2.1921,2.5168
562,6.8633,2.0281,7.3653
4340,-0.0677,8.6219,2.5255
3898,2.7319,7.8505,3.5675
2372,-6.6833,5.1871,4.0963
241,4.002,1.4678,1.3736
2241,-6.9522,4.9585,6.9098
715,2.4072,2.2951,2.049
2925,-5.6298,6.1523,3.0334
1470,-2.459,3.6128,4.1294
2884,0.4121,6.0807,6.9115
3346,4.9015,6.8871,5.9114
586,9.5985,2.07,6.5083
4186,11.2413,8.3531,6.7265
727,4.3482,2.3161,1.9076
1398,-2.9901,3.4872,1.4382
2163,-7.9292,4.8223,5.3198
2032,-3.1634,4.5937,7.2484
128,3.8119,1.2706,6.1593
3097,-3.276,6.4525,8.217
415,2.6513,1.7715,3.2341
3366,3.4088,6.922,1.7139
858,4.1534,2.5447,5.6514
953,3.4453,2.7105,6.7911
930,0.0525,2.6704,3.6949
3961,6.0143,7.9604,7.8854
212,0.9246,1.4172,1.6232
1249,1.6542,3.2271,2.8152
2743,-0.3326,5.8346,2.6058
2454,-5.9609,5.3302,2.4051
1233,0.3187,3.1992,1.5533
2608,-5.9476,5.599,3.2707
2587,-2.3917,5.5624,5.8503
797,0.8866,2.4382,3.5186
381,0.979,1.7122,3.3214
208,8.3896,1.4102,5.1121
1292,-0.665,3.3022,7.4229
4324,2.5278,8.594,1.9094
2179,-6.2495,4.8503,4.5047
2110,-10.7871,4.7298,3.0788
1199,-2.3076,3.1398,2.6599
703,8.3768,2.2742,5.8329
2794,-4.6079,5.9236,8.6725
2538,-5.1941,5.4768,4.0998
2401,-7.0493,5.2377,1.2584
3389,6.2868,6.9621,7.9063
2562,-3.4955,5.5187,7.3426
423,2.6287,1.7855,8.6132
587,4.9571,2.0717,5.2814
4060,2.4332,8.1332,4.1172
339,6.8217,1.6389,7.7283
3451,2.4157,7.0703,8.608
1017,-0.0477,2.8222,1.9408
1450,-5.4586,3.5779,1.398
682,4.2022,2.2375,5.2238
4061,1.3577,8.135,8.6359
629,6.8621,2.145,1.6249
3273,1.7627,6.7597,2.0647
186,6.3606,1.3718,5.9446
3513,2.0125,7.1785,1.4329
1482,-8.375,3.6338,8.5242
489,3.1283,1.9007,2.803
1400,-3.0483,3.4907,8.4526
1934,-2.4147,4.4227,6.7771
4319,8.9842,8.5853,6.5572
853,5.8105,2.536,2.419
805,2.2257,2.4522,2.7838
993,3.1261,2.7803,8.4491
2951,-0.0084,6.1977,7.7597
296,1.6644,1.5638,7.7336
3545,5.7088,7.2344,5.503
2045,-4.5403,4.6164,7.1175
864,3.4234,2.5552,5.7613
2458,-1.508,5.3372,5.332
3278,4.5769,6.7684,6.1697
425,3.4146,1.789,2.3702
1122,1.0222,3.0055,6.5991
2661,-1.0677,5.6915,6.079
1384,-1.6914,3.4627,7.4246
1206,2.7287,3.1521,8.2118
925,2.1222,2.6616,8.3252
981,-0.1854,2.7594,8.519
1655,-0.9242,3.9357,7.1506
1083,0.4386,2.9374,8.1542
2011,-2.8113,4.5571,7.1227
4371,6.6891,8.676,7.5712
2609,-7.3485,5.6008,2.6756
414,5.8191,1.7698,4.5256
3223,3.9553,6.6724,7.6411
1359,-1.3169,3.4191,5.8172
